id,gender,age
13b5f1,1,37
0024f1,2,37
14935a,1,28
1.00E+262,2,53
06609d,2,30
1793c5,1,21
07acab,2,37
0c7755,2,67
0c1982,2,40
0f9c1b,2,36
1d76f4,1,33
144593,2,31
0a617d,1,63
1adebd,1,29
14c3c6,1,48
001c59,2,19
0d3814,1,56
085c06,2,87
08f0e2,1,60
17aba8,2,21
161f47,2,51
14098a,2,52
16962a,2,51
136391,1,22
03e559,2,32
0cb25c,1,18
0030b1,2,68
1488be,2,37
177d03,1,33
64931,1,73
116048,1,47
17652b,2,69
1e3e01,2,55
19a605,1,5
146c4e,1,39
180177,1,27
48205,2,49
161cbc,1,39
10c4d2,1,35
1153d9,1,25
0ab3dd,2,42
0ba87f,2,20
02c52a,2,28
1.37E+24,1,30
0688f9,2,23
12e0e5,1,28
03055c,2,22
048f93,1,43
04275e,1,51
10b042,1,42
2.08E+04,1,47
0e9e9d,2,52
1ca485,2,69
1958ad,2,25
1224cd,1,32
0c7f5e,1,4
092ad7,2,43
0d5d97,2,51
11a23c,2,41
11869,2,40
1bdd81,2,81
1429a2,1,47
006d0b,2,36
1ba5b9,1,42
81512,1,49
02b722,1,32
0785ab,2,26
12a494,2,37
04a292,2,32
133546,1,26
0d62bb,2,46
01c72c,2,28
1327a0,1,64
0c05ad,2,48
1895b6,1,47
150b43,2,44
0ef693,1,46
0fb314,2,20
053cb2,2,52
026d5a,2,42
1cef35,2,75
35076,1,68
18efa8,1,31
172394,1,53
18ccd7,1,31
0ec4bc,1,43
0b391e,1,39
1.74E+75,1,40
1ae375,2,36
0dbdee,2,46
04f1d4,1,57
1e7792,2,61
177d52,2,57
169123,1,40
1417ff,1,31
1.37E+90,2,83
14126d,2,37
33275,2,41
151508,2,53
0240f2,1,51
089ad2,2,22
1cd575,2,40
01ddeb,1,24
07ee1f,2,69
0bf0e3,2,59
0c6fb0,2,27
031f65,1,44
191b41,2,50
1115c3,2,39
11c63c,1,43
122899,2,71
58287,2,39
06066d,2,50
1b2da1,2,21
00e04a,1,34
1563b3,1,63
097f5d,2,29
0d7953,2,26
0a4f95,2,43
06d535,2,60
1db34b,1,24
12c727,1,52
13ee3b,2,68
00ed11,2,21
09d3ef,2,31
1b507d,2,31
1cbfe6,2,96
1b6cdb,2,58
1691c0,1,55
13cf5a,1,49
185349,1,35
053e3e,1,62
0630fc,2,24
0b7e83,1,19
0c6420,2,87
